업종명,인허가일자,업소명,도로명주소,영업장면적,영업자시작일,업태명
일반음식점,2001-03-14,송이식당,서울특별시 성동구 성수일로12길 27 (성수동2가),25.9,2001-05-15,한식
일반음식점,2001-03-13,광순네식당,서울특별시 성동구 성덕정15길 6-4 (성수동2가),19.98,2007-07-12,한식
일반음식점,2001-03-03,장흥식당,"서울특별시 성동구 성수일로 59 (성수동1가,(지상1층))",38.86,2008-09-29,한식
일반음식점,2001-04-07,원샷,서울특별시 성동구 아차산로 116 (성수동2가),60.75,2011-06-30,호프/통닭
일반음식점,2001-03-29,백두대간,서울특별시 성동구 성덕정길 46 (성수동1가),66.92,2003-10-01,호프/통닭
일반음식점,2001-04-06,튜니호프,서울특별시 성동구 금호로11길 1 (금호동2가),31.2,2011-01-27,호프/통닭
일반음식점,2001-04-26,해마로숯불바베큐,서울특별시 성동구 금호산길 62 (금호동2가),66,2008-10-01,한식
일반음식점,2001-05-03,엄마손분식,"서울특별시 성동구 행당로 87, 행당동 대림아파트 325호,326호,327호,356호 (행당동)",59.2,2011-12-26,분식
일반음식점,2001-06-02,짱구네순대타운,"서울특별시 성동구 독서당로 297-3, 1층 (금호동3가)",18.8,2002-02-09,한식
일반음식점,2001-05-26,종로빈대떡,서울특별시 성동구 용답중앙15길 12-1 (용답동),23.29,2010-03-05,정종/대포집/소주방
일반음식점,2001-06-22,숙영이네,서울특별시 성동구 성덕정15길 5 (성수동2가),26.97,2011-04-07,한식
일반음식점,2001-08-11,썬더치킨,,36.18,2007-11-02,호프/통닭
일반음식점,2001-07-27,바다양푼이 동태탕,"서울특별시 성동구 금호산2길 19, 1층 (금호동3가, 460)",36.77,2012-07-20,한식
일반음식점,2001-09-25,해프닝,서울특별시 성동구 광나루로11길 47 (송정동),49.7,2007-09-14,호프/통닭
